chassi,pps,val_pdi,percentil_atacado
LC0C76C49T0013172,"175.990,00",700,"0,02"
LC0C76C48T0013132,"175.990,00",700,"0,02"
LC0C76C47T0014420,"175.990,00",700,"0,02"
LC0C76C4XT0013116,"175.990,00",700,"0,02"
LC0C76C41T0013103,"175.990,00",700,"0,02"
LC0C76C44T0013077,"175.990,00",700,"0,02"
LC0C76C41T0013084,"175.990,00",700,"0,02"
LC0C76C4XT0013102,"175.990,00",700,"0,02"
LC0C76C49T0014287,"175.990,00",700,"0,02"
LC0C76C41T0013098,"175.990,00",700,"0,02"
LC0C76C43T0013099,"175.990,00",700,"0,02"
LC0C76C43T0013152,"175.990,00",700,"0,02"
LC0C76C49T0014323,"175.990,00",700,"0,02"
LC0C76C44T0013192,"175.990,00",700,"0,02"
LC0C76C44T0013094,"175.990,00",700,"0,02"
LC0C76C4XT0013052,"175.990,00",700,"0,02"
LC0C76C4XT0014430,"175.990,00",700,"0,02"
LC0C76C43T0013149,"175.990,00",700,"0,02"
LC0C76C43T0013071,"175.990,00",700,"0,02"
LC0C76C48T0013096,"175.990,00",700,"0,02"
LC0C76C48T0013115,"175.990,00",700,"0,02"
LC0C76C49T0013107,"175.990,00",700,"0,02"
LC0C76C40T0013125,"175.990,00",700,"0,02"
LC0C76C40T0014436,"175.990,00",700,"0,02"
LC0C76C49T0014418,"175.990,00",700,"0,02"
LC0C76C47T0014417,"175.990,00",700,"0,02"
LC0C76C44T0013189,"175.990,00",700,"0,02"
LC0C76C49T0013169,"175.990,00",700,"0,02"
LC0C76C41T0013196,"175.990,00",700,"0,02"
LC0C76C49T0013088,"175.990,00",700,"0,02"
LC0C76C43T0014401,"175.990,00",700,"0,02"
LC0C76C43T0013104,"175.990,00",700,"0,02"
LC0C76C44T0013144,"175.990,00",700,"0,02"
LC0C76C4XT0013049,"175.990,00",700,"0,02"
LC0C76C48T0014345,"175.990,00",700,"0,02"
LC0C76C4XT0013195,"175.990,00",700,"0,02"
LC0C76C48T0013082,"175.990,00",700,"0,02"
LC0C76C49T0013091,"175.990,00",700,"0,02"
LC0C76C40T0013108,"175.990,00",700,"0,02"
LC0C76C41T0011786,"175.990,00",700,"0,02"
LC0C76C44T0013158,"175.990,00",700,"0,02"
LC0C76C43T0014432,"175.990,00",700,"0,02"
LC0C76C43T0014267,"175.990,00",700,"0,02"
LC0C76C49T0014452,"175.990,00",700,"0,02"
LC0C76C4XT0013181,"175.990,00",700,"0,02"
LC0C76C48T0013129,"175.990,00",700,"0,02"
LC0C76C48T0013065,"175.990,00",700,"0,02"
LC0C76C40T0013111,"175.990,00",700,"0,02"
LGXCF6CD1S2005540,"249.990,00",700,"0,02"
LGXCF6CD1S2005408,"249.990,00",700,"0,02"
LGXCF6CD5S2005654,"249.990,00",700,"0,02"
LGXCF6CD1S2005506,"249.990,00",700,"0,02"
LGXCF6CD2S2005644,"249.990,00",700,"0,02"
LGXCF6CD2S2005417,"249.990,00",700,"0,02"
LGXCF6CD2S2005482,"249.990,00",700,"0,02"
LGXCF6CD0S2005450,"249.990,00",700,"0,02"
LGXCF6CD2S2005451,"249.990,00",700,"0,02"
LGXCF6CD1S2004601,"249.990,00",700,"0,02"
LGXCF6CD1S2004632,"249.990,00",700,"0,02"
LGXCF6CD5S2005637,"249.990,00",700,"0,02"
LGXCF6CDXS2005665,"249.990,00",700,"0,02"
LGXCF6CD9S2005561,"249.990,00",700,"0,02"
LGXC74C48T0051980,"249.990,00",700,"0,02"
LGXC74C47T0051999,"249.990,00",700,"0,02"
LGXC74C41T0042294,"249.990,00",700,"0,02"
LGXC74C40T0042271,"249.990,00",700,"0,02"
LGXC74C4XT0042262,"249.990,00",700,"0,02"
LGXC74C43T0042295,"249.990,00",700,"0,02"
LGXC74C49T0030443,"249.990,00",700,"0,02"
LGXC74C49T0055004,"249.990,00",700,"0,02"
LGXC74C42T0054972,"249.990,00",700,"0,02"
LGXC74C49T0052264,"249.990,00",700,"0,02"
LGXC74C47T0052277,"249.990,00",700,"0,02"
LGXC74C46T0052254,"249.990,00",700,"0,02"
LGXC74C43T0056682,"249.990,00",700,"0,02"
LGXC74C43T0056701,"249.990,00",700,"0,02"
LGXC74C43T0056746,"249.990,00",700,"0,02"
LGXC74C42T0056737,"249.990,00",700,"0,02"
LGXC74C43T0056679,"249.990,00",700,"0,02"
LGXC74C43T0056665,"249.990,00",700,"0,02"
LGXC74C43T0055029,"249.990,00",700,"0,02"
LGXC74C43T0055046,"249.990,00",700,"0,02"
LGXC74C49T0048439,"249.990,00",700,"0,02"
LGXC74C49T0050675,"249.990,00",700,"0,02"
LGXC74C48T0050716,"249.990,00",700,"0,02"
LGXC74C42T0051974,"249.990,00",700,"0,02"
LGXC74C4XT0053066,"249.990,00",700,"0,02"
LGXC74C42T0050680,"249.990,00",700,"0,02"
LGXC74C43T0053121,"249.990,00",700,"0,02"
LGXC74C47T0048343,"249.990,00",700,"0,02"
LGXC74C47T0042266,"249.990,00",700,"0,02"
LGXC74C42T0048041,"249.990,00",700,"0,02"
LGXC74C44T0048090,"249.990,00",700,"0,02"
LGXC74C44T0050700,"249.990,00",700,"0,02"
LGXC74C49T0053110,"249.990,00",700,"0,02"
LGXC74C47T0053056,"249.990,00",700,"0,02"
LGXC74C48T0050702,"249.990,00",700,"0,02"
LGXC74C47T0048357,"249.990,00",700,"0,02"
LGXC74C4XT0053052,"249.990,00",700,"0,02"
LGXC74C42T0050713,"249.990,00",700,"0,02"
LGXC74C46T0048883,"249.990,00",700,"0,02"
LGXC74C43T0048890,"249.990,00",700,"0,02"
LGXC74C44T0050695,"249.990,00",700,"0,02"
LGXC74C44T0054245,"249.990,00",700,"0,02"
LGXC74C43T0053166,"249.990,00",700,"0,02"
LGXC74C45T0044632,"249.990,00",700,"0,02"
LGXC74C42T0045575,"249.990,00",700,"0,02"
LGXC74C42T0047455,"249.990,00",700,"0,02"
LGXC74C49T0048098,"249.990,00",700,"0,02"
LGXC74C45T0055081,"249.990,00",700,"0,02"
LGXC74C45T0050401,"249.990,00",700,"0,02"
LGXC74C45T0052195,"249.990,00",700,"0,02"
LGXC74C46T0054229,"249.990,00",700,"0,02"
LGXC74C49T0044200,"249.990,00",700,"0,02"
LGXC74C46T0050374,"249.990,00",700,"0,02"
LGXC74C40T0048071,"249.990,00",700,"0,02"
LGXC74C41T0048032,"249.990,00",700,"0,02"
LGXC74C44T0052172,"249.990,00",700,"0,02"
LGXC74C4XT0059028,"249.990,00",700,"0,02"
LGXC74C47T0044583,"249.990,00",700,"0,02"
LGXC74C42T0059007,"249.990,00",700,"0,02"
LGXC74C4XT0044206,"249.990,00",700,"0,02"
LGXC74C49T0059053,"249.990,00",700,"0,02"
LGXC74C49T0044214,"249.990,00",700,"0,02"
LGXC74C49T0059103,"249.990,00",700,"0,02"
LGXC74C48T0044205,"249.990,00",700,"0,02"
LGXC74C41T0050458,"249.990,00",700,"0,02"
LGXC74C46T0049726,"249.990,00",700,"0,02"
LGXC74C42T0043552,"249.990,00",700,"0,02"
LGXC74C46T0043554,"249.990,00",700,"0,02"
LGXC74C46T0035518,"249.990,00",700,"0,02"
LGXC74C42T0059038,"249.990,00",700,"0,02"
LGXC74C49T0059036,"249.990,00",700,"0,02"
LGXC74C46T0052173,"249.990,00",700,"0,02"
LGXC74C44T0050518,"249.990,00",700,"0,02"
LGXC74C43T0054947,"249.990,00",700,"0,02"
LGXC74C44T0052107,"249.990,00",700,"0,02"
LGXC74C4XT0050457,"249.990,00",700,"0,02"
LGXC74C4XT0054220,"249.990,00",700,"0,02"
LGXC74C4XT0055058,"249.990,00",700,"0,02"
LGXC74C42T0052154,"249.990,00",700,"0,02"
LGXC74C42T0052221,"249.990,00",700,"0,02"
LGXC74C41T0054963,"249.990,00",700,"0,02"
LGXC74C42T0050419,"249.990,00",700,"0,02"
LGXC74C43T0052163,"249.990,00",700,"0,02"
LGXC74C42T0053353,"249.990,00",700,"0,02"
LGXC74C41T0052176,"249.990,00",700,"0,02"
LGXC74C42T0054132,"249.990,00",700,"0,02"
LGXC74C43T0050378,"249.990,00",700,"0,02"
LGXC74C41T0052212,"249.990,00",700,"0,02"
LGXC74C42T0054227,"249.990,00",700,"0,02"
LGXC74C43T0050400,"249.990,00",700,"0,02"
LGXC74C44T0050597,"249.990,00",700,"0,02"
LGXC74C45T0050592,"249.990,00",700,"0,02"
LGXC74C46T0054151,"249.990,00",700,"0,02"
LGXC74C44T0052110,"249.990,00",700,"0,02"
LGXC74C46T0052187,"249.990,00",700,"0,02"
LGXC74C43T0054964,"249.990,00",700,"0,02"
LGXC74C4XT0053116,"249.990,00",700,"0,02"
LGXC74C42T0051991,"249.990,00",700,"0,02"
LGXC74C42T0050663,"249.990,00",700,"0,02"
LGXC74C41T0052016,"249.990,00",700,"0,02"
LGXC74C45T0051998,"249.990,00",700,"0,02"
LGXC74C44T0048042,"249.990,00",700,"0,02"
LGXC74C42T0052171,"249.990,00",700,"0,02"
LGXC74C4XT0055075,"249.990,00",700,"0,02"
LGXC74C4XT0054329,"249.990,00",700,"0,02"
LGXC74C43T0052180,"249.990,00",700,"0,02"
LGXC74C41T0054185,"249.990,00",700,"0,02"
LGXC74C43T0050476,"249.990,00",700,"0,02"
LGXC74C42T0050436,"249.990,00",700,"0,02"
LGXC74C41T0055076,"249.990,00",700,"0,02"
LC0CE4CB6T0000551,"235.990,00",700,"0,02"
LC0CE4CB5T0000833,"235.990,00",700,"0,02"
LC0CE4CB5T0000816,"235.990,00",700,"0,02"
LC0CE4CBXT0000018,"235.990,00",700,"0,02"
LC0CE4CB6T0000307,"235.990,00",700,"0,02"
LGXCF6CDXS2004810,"249.990,00",700,"0,02"
LGXCF6CD1S2003545,"249.990,00",700,"0,02"
LGXCF6CDXS2004144,"249.990,00",700,"0,02"
LGXCF6CD9S2004068,"249.990,00",700,"0,02"
LGXCF6CD3S2003949,"249.990,00",700,"0,02"
LGXCF6CD1S2002976,"249.990,00",700,"0,02"
LGXCF6CD9S2001798,"249.990,00",700,"0,02"
LGXCF6CD4S2004270,"249.990,00",700,"0,02"
LGXCF6CD8S2002599,"249.990,00",700,"0,02"
LGXCF6CD8S2002960,"249.990,00",700,"0,02"
LGXCF6CD3S2004664,"249.990,00",700,"0,02"
LGXCF6CD4S2002602,"249.990,00",700,"0,02"
LGXCF6CD5S2002964,"249.990,00",700,"0,02"
LGXCF6CD9S2004829,"249.990,00",700,"0,02"
LGXCF6CD6S2001547,"249.990,00",700,"0,02"
LGXCF6CD0S2004699,"249.990,00",700,"0,02"
LGXCF6CD4S2002082,"249.990,00",700,"0,02"
LGXCF6CD9S2004135,"249.990,00",700,"0,02"
LGXCF6CDXS2002491,"249.990,00",700,"0,02"
LGXCF6CD4S2004124,"249.990,00",700,"0,02"
LGXCF6CD8S2004272,"249.990,00",700,"0,02"
LGXCF6CD0S2004802,"249.990,00",700,"0,02"
LGXCF6CD4S2004639,"249.990,00",700,"0,02"
LGXCF6CD5S2002527,"249.990,00",700,"0,02"
LGXCF6CD4S2004799,"249.990,00",700,"0,02"
LGXCF6CD9S2004734,"249.990,00",700,"0,02"
LGXCF6CDXS2004693,"249.990,00",700,"0,02"
LGXCF6CD8S2004711,"249.990,00",700,"0,02"
LGXCF6CD8S2003655,"249.990,00",700,"0,02"
LGXCF6CD9S2001767,"249.990,00",700,"0,02"
LGXCF6CDXS2002510,"249.990,00",700,"0,02"
LGXCF6CD3S2002963,"249.990,00",700,"0,02"
LGXCF6CD8S2004594,"249.990,00",700,"0,02"
LGXCF6CD6S2004125,"249.990,00",700,"0,02"
LGXCF6CD3S2004194,"249.990,00",700,"0,02"
LGXCD4C49T0043301,"299.800,00",700,"0,02"
LGXCD4C4XT0036180,"299.800,00",700,"0,02"
LGXCD4C49T0041998,"299.800,00",700,"0,02"
LGXCD4C49T0041323,"299.800,00",700,"0,02"
LGXCD4C4XT0036289,"299.800,00",700,"0,02"
LGXCD4C48T0036338,"299.800,00",700,"0,02"
LGXCD4C46T0037472,"299.800,00",700,"0,02"
LGXCD4C45T0042985,"299.800,00",700,"0,02"
LGXCD4C45T0042968,"299.800,00",700,"0,02"
LGXCD4C4XT0038978,"299.800,00",700,"0,02"
LGXCD4C4XT0038642,"299.800,00",700,"0,02"
LGXCD4C4XT0038768,"299.800,00",700,"0,02"
LGXCD4C4XT0036437,"299.800,00",700,"0,02"
LGXCD4C4XT0036454,"299.800,00",700,"0,02"
LGXCD4C4XT0036373,"299.800,00",700,"0,02"
LGXCD4C4XT0036261,"299.800,00",700,"0,02"
LGXCD4C4XT0036244,"299.800,00",700,"0,02"
LGXCD4C4XT0036227,"299.800,00",700,"0,02"
LGXCD4C45T0055574,"299.800,00",700,"0,02"
LGXCD4C41T0044314,"299.800,00",700,"0,02"
LGXCD4C4XT0039015,"299.800,00",700,"0,02"
LGXCD4C4XT0038706,"299.800,00",700,"0,02"
LGXCD4C4XT0038656,"299.800,00",700,"0,02"
LGXCD4C4XT0038639,"299.800,00",700,"0,02"
LGXCD4C4XT0036387,"299.800,00",700,"0,02"
LGXCD4C4XT0036440,"299.800,00",700,"0,02"
LGXCD4C45T0042033,"299.800,00",700,"0,02"
LGXCD4C4XT0043128,"299.800,00",700,"0,02"
LGXCD4C48T0044536,"299.800,00",700,"0,02"
LGXCD4C4XT0037491,"299.800,00",700,"0,02"
LGXCD4C4XT0036471,"299.800,00",700,"0,02"
LGXCD4C46T0036368,"299.800,00",700,"0,02"
LGXCD4C49T0056159,"299.800,00",700,"0,02"
LGXCD4C49T0055559,"299.800,00",700,"0,02"
LGXCD4C49T0043122,"299.800,00",700,"0,02"
LGXCD4C4XT0038690,"299.800,00",700,"0,02"
LGXCD4C4XT0040276,"299.800,00",700,"0,02"
LGXCD4C4XT0055683,"299.800,00",700,"0,02"
LGXCD4C4XT0055635,"299.800,00",700,"0,02"
LGXCD4C45T0037494,"299.800,00",700,"0,02"
LGXCD4C49T0042035,"299.800,00",700,"0,02"
LGXCD4C4XT0036616,"299.800,00",700,"0,02"
LGXCD4C49T0042021,"299.800,00",700,"0,02"
LGXCD4C49T0040320,"299.800,00",700,"0,02"
LGXCD4C4XT0037474,"299.800,00",700,"0,02"
LGXCD4C4XT0042013,"299.800,00",700,"0,02"
LGXCD4C4XT0042044,"299.800,00",700,"0,02"
LGXCD4C4XT0038687,"299.800,00",700,"0,02"
LGXCD4C48T0039000,"299.800,00",700,"0,02"
LGXCD4C4XT0037457,"299.800,00",700,"0,02"
LGXCD4C4XT0036292,"299.800,00",700,"0,02"
LGXCD4C4XT0038933,"299.800,00",700,"0,02"
LGXCD4C47T0041319,"299.800,00",700,"0,02"
LGXCD4C4XT0036177,"299.800,00",700,"0,02"
LGXCD4C4XT0036163,"299.800,00",700,"0,02"
LGXCD4C47T0040316,"299.800,00",700,"0,02"
LGXCD4C4XT0038673,"299.800,00",700,"0,02"
LGXCD4C45T0040332,"299.800,00",700,"0,02"
LGXCD4C45T0041304,"299.800,00",700,"0,02"
LGXCD4C45T0037415,"299.800,00",700,"0,02"
LGXCD4C46T0037410,"299.800,00",700,"0,02"
LGXCD4C4XT0036485,"299.800,00",700,"0,02"
LGXCD4C45T0036166,"299.800,00",700,"0,02"
LGXCD4C4XT0037460,"299.800,00",700,"0,02"
LGXCD4C46T0036144,"299.800,00",700,"0,02"
LGXCD4C4XT0043405,"299.800,00",700,"0,02"
LGXCD4C46T0036273,"299.800,00",700,"0,02"
LGXCD4C4XT0039001,"299.800,00",700,"0,02"
LGXCD4C4XT0036356,"299.800,00",700,"0,02"
LGXCD4C47T0038615,"299.800,00",700,"0,02"
LGXCD4C47T0039067,"299.800,00",700,"0,02"
LGXCD4C45T0039066,"299.800,00",700,"0,02"
LGXCD4C45T0039049,"299.800,00",700,"0,02"
LGXCD4C48T0055214,"299.800,00",700,"0,02"
LGXCD4C45T0041268,"299.800,00",700,"0,02"
LGXCD4C45T0055560,"299.800,00",700,"0,02"
LGXCD4C49T0056162,"299.800,00",700,"0,02"
LGXCD4C45T0038581,"299.800,00",700,"0,02"
LGXCD4C45T0038600,"299.800,00",700,"0,02"
LGXCD4C41T0044524,"299.800,00",700,"0,02"
LGXCD4C47T0044558,"299.800,00",700,"0,02"
LGXCD4C48T0054452,"299.800,00",700,"0,02"
LGXCD4C48T0054449,"299.800,00",700,"0,02"
LGXCD4C47T0055639,"299.800,00",700,"0,02"
LGXCD4C4XT0055666,"299.800,00",700,"0,02"
LGXCD4C4XT0036275,"299.800,00",700,"0,02"
LGXCD4C47T0041241,"299.800,00",700,"0,02"
LGXCD4C4XT0036776,"299.800,00",700,"0,02"
LGXCD4C46T0037343,"299.800,00",700,"0,02"
LGXCD4C49T0055495,"299.800,00",700,"0,02"
LGXCD4C45T0055543,"299.800,00",700,"0,02"
LGXCD4C45T0040315,"299.800,00",700,"0,02"
LGXCD4C45T0041318,"299.800,00",700,"0,02"
LGXCD4C43T0044301,"299.800,00",700,"0,02"
LGXCD4C49T0041306,"299.800,00",700,"0,02"
LGXCD4C49T0042018,"299.800,00",700,"0,02"
LGXCD4C45T0055929,"299.800,00",700,"0,02"
LGXCD4C45T0036765,"299.800,00",700,"0,02"
LGXCD4C41T0050971,"299.800,00",700,"0,02"
LGXCD4C49T0042004,"299.800,00",700,"0,02"
LGXCD4C47T0039036,"299.800,00",700,"0,02"
LGXCD4C45T0055588,"299.800,00",700,"0,02"
LGXCD4C45T0041240,"299.800,00",700,"0,02"
LGXCD4C47T0038596,"299.800,00",700,"0,02"
LGXCD4C45T0039052,"299.800,00",700,"0,02"
LGXCD4C45T0036409,"299.800,00",700,"0,02"
LGXCD4C45T0038578,"299.800,00",700,"0,02"
LGXCD4C44T0055324,"299.800,00",700,"0,02"
LGXCD4C43T0044296,"299.800,00",700,"0,02"
LGXCD4C48T0055195,"299.800,00",700,"0,02"
LGXCD4C47T0056967,"299.800,00",700,"0,02"
LGXCD4C47T0039070,"299.800,00",700,"0,02"
LGXCD4C47T0056936,"299.800,00",700,"0,02"
LGXCD4C47T0055673,"299.800,00",700,"0,02"
LGXCD4C47T0055964,"299.800,00",700,"0,02"
LGXCD4C45T0038595,"299.800,00",700,"0,02"
LGXCD4C47T0055981,"299.800,00",700,"0,02"
LGXCD4C47T0056189,"299.800,00",700,"0,02"
LGXCD4C4XT0055330,"299.800,00",700,"0,02"
LGXCD4C4XT0055652,"299.800,00",700,"0,02"
LGXCD4C4XT0055327,"299.800,00",700,"0,02"
LGXCD4C49T0055612,"299.800,00",700,"0,02"
LGXCD4C49T0055545,"299.800,00",700,"0,02"
LGXCD4C48T0055276,"299.800,00",700,"0,02"
LGXCD4C47T0056970,"299.800,00",700,"0,02"
LGXCD4C47T0055656,"299.800,00",700,"0,02"
LGXCD4C4XT0037488,"299.800,00",700,"0,02"
LGXCD4C4XT0036311,"299.800,00",700,"0,02"
LGXCD4C46T0036340,"299.800,00",700,"0,02"
LGXCD4C4XT0055943,"299.800,00",700,"0,02"
LGXCD4C4XT0036258,"299.800,00",700,"0,02"
LGXCD4C4XT0036230,"299.800,00",700,"0,02"
LGXCD4C49T0043315,"299.800,00",700,"0,02"
LGXCD4C45T0041271,"299.800,00",700,"0,02"
LGXCD4C49T0055562,"299.800,00",700,"0,02"
LGXCD4C46T0036208,"299.800,00",700,"0,02"
LGXCD4C47T0041286,"299.800,00",700,"0,02"
LGXCD4C48T0036355,"299.800,00",700,"0,02"
LGXCD4C47T0041143,"299.800,00",700,"0,02"
LGXCD4C47T0041322,"299.800,00",700,"0,02"
LGXCD4C47T0041949,"299.800,00",700,"0,02"
LGXCD4C46T0036189,"299.800,00",700,"0,02"
LGXCD4C47T0040297,"299.800,00",700,"0,02"
LGXCD4C45T0041299,"299.800,00",700,"0,02"
LGXCD4C45T0040203,"299.800,00",700,"0,02"
LGXCD4C45T0041321,"299.800,00",700,"0,02"
LGXCD4C45T0042002,"299.800,00",700,"0,02"
LGXCD4C4XT0038950,"299.800,00",700,"0,02"
LGXCD4C4XT0043310,"299.800,00",700,"0,02"
LGXCD4C45T0041285,"299.800,00",700,"0,02"
LGXCD4C45T0040329,"299.800,00",700,"0,02"
LGXCD4C4XT0043095,"299.800,00",700,"0,02"
LGXCD4C4XT0036213,"299.800,00",700,"0,02"
LGXCD4C4XT0040245,"299.800,00",700,"0,02"
